r [A]	U [eV]
3,45	-0,400034421
3,46	-0,395089814
3,47	-0,390203368
3,48	-0,385374479
3,49	-0,380602546
3,5	-0,375886972
3,51	-0,371227165
3,52	-0,366622536
3,53	-0,362072501
3,54	-0,35757648
3,55	-0,353133898
3,56	-0,348744183
3,57	-0,344406768
3,58	-0,340121091
3,59	-0,335886593
3,6	-0,33170272
3,61	-0,327568923
3,62	-0,323484657
3,63	-0,319449381
3,64	-0,315462559
3,65	-0,311523659
3,66	-0,307632154
3,67	-0,303787521
3,68	-0,299989242
3,69	-0,296236802
3,7	-0,292529693
3,71	-0,288867408
3,72	-0,285249449
3,73	-0,281675318
3,74	-0,278144524
3,75	-0,27465658
3,76	-0,271211003
3,77	-0,267807314
3,78	-0,26444504
3,79	-0,261123712
3,8	-0,257842863
3,81	-0,254602034
3,82	-0,251400767
3,83	-0,248238611
3,84	-0,245115118
3,85	-0,242029844
3,86	-0,238982351
3,87	-0,235972204
3,88	-0,232998971
3,89	-0,230062227
3,9	-0,227161549
3,91	-0,224296519
3,92	-0,221466724
3,93	-0,218671754
3,94	-0,215911203
3,95	-0,21318467
3,96	-0,210491758
3,97	-0,207832073
3,98	-0,205205225
3,99	-0,202610831
4	-0,200048508
4,01	-0,197517879
4,02	-0,19501857
4,03	-0,192550213
4,04	-0,190112441
4,05	-0,187704893
4,06	-0,185327211
4,07	-0,18297904
4,08	-0,18066003
4,09	-0,178369835
4,1	-0,176108112
4,11	-0,17387452
4,12	-0,171668725
4,13	-0,169490395
4,14	-0,167339201
4,15	-0,165214818
4,16	-0,163116925
4,17	-0,161045204
4,18	-0,158999341
4,19	-0,156979026
4,2	-0,154983949
4,21	-0,153013808
4,22	-0,151068302
4,23	-0,149147134
4,24	-0,147250008
4,25	-0,145376636
4,26	-0,143526728
4,27	-0,141700001
4,28	-0,139896174
4,29	-0,138114969
4,3	-0,13635611
4,31	-0,134619327
4,32	-0,13290435
4,33	-0,131210914
4,34	-0,129538756
4,35	-0,127887617
4,36	-0,12625724
4,37	-0,124647372
4,38	-0,123057761
4,39	-0,12148816
4,4	-0,119938324
4,41	-0,11840801
4,42	-0,116896979
4,43	-0,115404995
4,44	-0,113931822
4,45	-0,112477231
4,46	-0,111040993
4,47	-0,109622881
4,48	-0,108222673
4,49	-0,106840148
4,5	-0,105475087
4,51	-0,104127276
4,52	-0,102796501
4,53	-0,101482551
4,54	-0,10018522
4,55	-0,0989043
4,56	-0,09763959
4,57	-0,096390888
4,58	-0,095157995
4,59	-0,093940717
4,6	-0,092738859
4,61	-0,091552229
4,62	-0,090380639
4,63	-0,089223902
4,64	-0,088081833
4,65	-0,086954249
4,66	-0,085840971
4,67	-0,08474182
4,68	-0,083656619
4,69	-0,082585197
4,7	-0,081527379
4,71	-0,080482998
4,72	-0,079451884
4,73	-0,078433873
4,74	-0,0774288
4,75	-0,076436504
4,76	-0,075456825
4,77	-0,074489606
4,78	-0,073534689
4,79	-0,072591923
4,8	-0,071661153
4,81	-0,070742229
4,82	-0,069835004
4,83	-0,068939331
4,84	-0,068055064
4,85	-0,06718206
4,86	-0,066320179
4,87	-0,06546928
4,88	-0,064629224
4,89	-0,063799877
4,9	-0,062981103
4,91	-0,06217277
4,92	-0,061374745
4,93	-0,060586899
4,94	-0,059809105
4,95	-0,059041234
4,96	-0,058283163
4,97	-0,057534767
4,98	-0,056795926
4,99	-0,056066517
5	-0,055346423
5,01	-0,054635525
5,02	-0,053933708
5,03	-0,053240856
5,04	-0,052556857
5,05	-0,051881599
5,06	-0,051214971
5,07	-0,050556864
5,08	-0,049907171
5,09	-0,049265784
5,1	-0,048632599
5,11	-0,048007512
5,12	-0,04739042
5,13	-0,046781223
5,14	-0,046179819
5,15	-0,045586111
5,16	-0,045000001
5,17	-0,044421392
5,18	-0,04385019
5,19	-0,0432863
5,2	-0,042729629
5,21	-0,042180087
5,22	-0,041637582
5,23	-0,041102026
5,24	-0,040573329
5,25	-0,040051406
5,26	-0,039536169
5,27	-0,039027534
5,28	-0,038525417
5,29	-0,038029734
5,3	-0,037540406
5,31	-0,037057349
5,32	-0,036580485
5,33	-0,036109735
5,34	-0,035645021
5,35	-0,035186266
5,36	-0,034733395
5,37	-0,034286332
5,38	-0,033845003
5,39	-0,033409336
5,4	-0,032979258
5,41	-0,032554699
5,42	-0,032135587
5,43	-0,031721853
5,44	-0,031313429
5,45	-0,030910247
5,46	-0,03051224
5,47	-0,030119342
5,48	-0,029731488
5,49	-0,029348614
5,5	-0,028970656
5,51	-0,028597551
5,52	-0,028229238
5,53	-0,027865654
5,54	-0,027506741
5,55	-0,027152438
5,56	-0,026802685
5,57	-0,026457426
5,58	-0,026116603
5,59	-0,025780159
5,6	-0,025448037
5,61	-0,025120184
5,62	-0,024796543
5,63	-0,024477062
5,64	-0,024161688
5,65	-0,023850366
5,66	-0,023543047
5,67	-0,023239678
5,68	-0,022940209
5,69	-0,022644591
5,7	-0,022352773
5,71	-0,022064707
5,72	-0,021780346
5,73	-0,021499641
5,74	-0,021222547
5,75	-0,020949016
5,76	-0,020679003
5,77	-0,020412463
5,78	-0,020149352
5,79	-0,019889626
5,8	-0,01963324
5,81	-0,019380153
5,82	-0,019130323
5,83	-0,018883706
5,84	-0,018640263
5,85	-0,018399953
5,86	-0,018162735
5,87	-0,017928569
5,88	-0,017697418
5,89	-0,017469241
5,9	-0,017244001
5,91	-0,01702166
5,92	-0,016802181
5,93	-0,016585528
5,94	-0,016371663
5,95	-0,016160552
5,96	-0,015952158
5,97	-0,015746448
5,98	-0,015543386
5,99	-0,015342939
6	-0,015145073
6,01	-0,014949754
6,02	-0,014756951
6,03	-0,014566631
6,04	-0,014378761
6,05	-0,014193311
6,06	-0,01401025
6,07	-0,013829547
6,08	-0,013651171
6,09	-0,013475092
6,1	-0,013301282
6,11	-0,01312971
6,12	-0,012960349
6,13	-0,01279317
6,14	-0,012628144
6,15	-0,012465244
6,16	-0,012304444
6,17	-0,012145715
6,18	-0,011989031
6,19	-0,011834366
6,2	-0,011681694
6,21	-0,011530989
6,22	-0,011382226
6,23	-0,01123538
6,24	-0,011090427
6,25	-0,010947342
6,26	-0,0108061
6,27	-0,010666679
6,28	-0,010529055
6,29	-0,010393205
6,3	-0,010259106
6,31	-0,010126735
6,32	-0,009996071
6,33	-0,00986709
6,34	-0,009739773
6,35	-0,009614096
6,36	-0,00949004
6,37	-0,009367583
6,38	-0,009246705
6,39	-0,009127385
6,4	-0,009009603
6,41	-0,00889334
6,42	-0,008778576
6,43	-0,008665291
6,44	-0,008553467
6,45	-0,008443085
6,46	-0,008334127
6,47	-0,008226573
6,48	-0,008120406
6,49	-0,008015608
6,5	-0,007912162
6,51	-0,007810049
6,52	-0,007709254
6,53	-0,007609758
6,54	-0,007511545
6,55	-0,007414599
6,56	-0,007318903
6,57	-0,007224442
6,58	-0,007131198
6,59	-0,007039158
6,6	-0,006948304
6,61	-0,006858623
6,62	-0,006770098
6,63	-0,006682714
6,64	-0,006596458
6,65	-0,006511315
6,66	-0,00642727
6,67	-0,006344309
6,68	-0,006262418
6,69	-0,006181583
6,7	-0,006101792
6,71	-0,006023029
6,72	-0,005945283
6,73	-0,00586854
6,74	-0,005792786
6,75	-0,00571801
6,76	-0,005644199
6,77	-0,00557134
6,78	-0,005499421
6,79	-0,00542843
6,8	-0,005358354
6,81	-0,005289183
6,82	-0,005220905
6,83	-0,005153507
6,84	-0,005086979
6,85	-0,005021309
6,86	-0,004956487
6,87	-0,004892501
6,88	-0,00482934
6,89	-0,004766995
6,9	-0,004705454
6,91	-0,004644707
6,92	-0,004584745
6,93	-0,004525555
6,94	-0,00446713
6,95	-0,004409459
6,96	-0,004352532
6,97	-0,004296339
6,98	-0,004240872
6,99	-0,00418612
7	-0,004132075
7,01	-0,004078728
7,02	-0,004026068
7,03	-0,003974089
7,04	-0,00392278
7,05	-0,003872134
7,06	-0,003822141
7,07	-0,003772793
7,08	-0,003724083
7,09	-0,003676001
7,1	-0,003628539
7,11	-0,00358169
7,12	-0,003535446
7,13	-0,003489799
7,14	-0,00344474
7,15	-0,003400264
7,16	-0,003356361
7,17	-0,003313025
7,18	-0,003270249
7,19	-0,003228024
7,2	-0,003186345
7,21	-0,003145203
7,22	-0,003104593
7,23	-0,003064507
7,24	-0,003024938
7,25	-0,00298588
7,26	-0,002947326
7,27	-0,00290927
7,28	-0,002871705
7,29	-0,002834625
7,3	-0,002798023
7,31	-0,002761895
7,32	-0,002726232
7,33	-0,00269103
7,34	-0,002656282
7,35	-0,002621983
7,36	-0,002588127
7,37	-0,002554707
7,38	-0,002521719
7,39	-0,002489157
