r [A]	U [eV]
0,9	16,30570372
0,91	15,66318126
0,92	15,04203948
0,93	14,44161087
0,94	13,86124819
0,95	13,30032387
0,96	12,75822937
0,97	12,23437466
0,98	11,72818765
0,99	11,23911363
1	10,7666148
1,01	10,3101697
1,02	9,869272771
1,03	9,44343385
1,04	9,032177722
1,05	8,635043663
1,06	8,251585008
1,07	7,88136873
1,08	7,52397503
1,09	7,178996939
1,1	6,846039931
1,11	6,524721553
1,12	6,214671059
1,13	5,915529058
1,14	5,626947174
1,15	5,348587714
1,16	5,080123346
1,17	4,821236789
1,18	4,571620505
1,19	4,330976414
1,2	4,099015602
1,21	3,875458047
1,22	3,660032352
1,23	3,452475485
1,24	3,252532523
1,25	3,059956412
1,26	2,874507728
1,27	2,695954444
1,28	2,524071711
1,29	2,358641638
1,3	2,199453082
1,31	2,046301445
1,32	1,898988474
1,33	1,757322075
1,34	1,621116116
1,35	1,490190258
1,36	1,36436977
1,37	1,243485366
1,38	1,127373036
1,39	1,015873887
1,4	0,908833988
1,41	0,806104219
1,42	0,707540126
1,43	0,613001778
1,44	0,522353628
1,45	0,435464386
1,46	0,35220688
1,47	0,272457941
1,48	0,196098272
1,49	0,123012335
1,5	0,053088238
1,51	-0,013782383
1,52	-0,077704463
1,53	-0,138779621
1,54	-0,197106253
1,55	-0,252779638
1,56	-0,305892029
1,57	-0,356532746
1,58	-0,404788266
1,59	-0,450742311
1,6	-0,494475933
1,61	-0,536067591
1,62	-0,575593237
1,63	-0,613126389
1,64	-0,648738206
1,65	-0,682497564
1,66	-0,71447112
1,67	-0,744723386
1,68	-0,773316791
1,69	-0,800311748
1,7	-0,825766715
1,71	-0,849738254
1,72	-0,872281094
1,73	-0,89344818
1,74	-0,913290737
1,75	-0,931858315
1,76	-0,949198847
1,77	-0,965358696
1,78	-0,980382705
1,79	-0,994314243
1,8	-1,007195251
1,81	-1,019066288
1,82	-1,029966572
1,83	-1,039934021
1,84	-1,049005297
1,85	-1,057215843
1,86	-1,06459992
1,87	-1,071190646
1,88	-1,07702003
1,89	-1,082119008
1,9	-1,086517477
1,91	-1,090244325
1,92	-1,093327465
1,93	-1,095793866
1,94	-1,09766958
1,95	-1,098979773
1,96	-1,099748755
1,97	-1,1
1,98	-1,09975618
1,99	-1,099039187
2	-1,097870156
2,01	-1,096269493
2,02	-1,094256896
2,03	-1,091851375
2,04	-1,089071279
2,05	-1,085934314
2,06	-1,082457562
2,07	-1,078657505
2,08	-1,074550042
2,09	-1,070150506
2,1	-1,065473686
2,11	-1,060533839
2,12	-1,055344714
2,13	-1,049919563
2,14	-1,044271159
2,15	-1,03841181
2,16	-1,032353377
2,17	-1,026107286
2,18	-1,019684542
2,19	-1,013095746
2,2	-1,006351102
2,21	-0,999460436
2,22	-0,992433205
2,23	-0,985278511
2,24	-0,978005111
2,25	-0,970621428
2,26	-0,963135563
2,27	-0,955555308
2,28	-0,94788815
2,29	-0,940141287
2,3	-0,932321636
2,31	-0,924435839
2,32	-0,916490278
2,33	-0,908491077
2,34	-0,900444117
2,35	-0,892355041
2,36	-0,884229261
2,37	-0,876071966
2,38	-0,867888134
2,39	-0,859682533
2,4	-0,851459731
2,41	-0,843224104
2,42	-0,834979839
2,43	-0,826730944
2,44	-0,818481252
2,45	-0,810234429
2,46	-0,801993976
2,47	-0,79376324
2,48	-0,785545414
2,49	-0,777343547
2,5	-0,769160544
2,51	-0,760999177
2,52	-0,752862084
2,53	-0,744751778
2,54	-0,736670649
2,55	-0,728620968
2,56	-0,720604894
2,57	-0,712624474
2,58	-0,704681653
2,59	-0,696778269
2,6	-0,688916066
2,61	-0,681096691
2,62	-0,673321699
2,63	-0,665592559
2,64	-0,657910654
2,65	-0,650277286
2,66	-0,642693678
2,67	-0,635160977
2,68	-0,627680257
2,69	-0,620252523
2,7	-0,612878712
2,71	-0,605559695
2,72	-0,598296281
2,73	-0,591089221
2,74	-0,583939204
2,75	-0,576846869
2,76	-0,569812796
2,77	-0,562837518
2,78	-0,555921516
2,79	-0,549065225
2,8	-0,542269035
2,81	-0,535533291
2,82	-0,528858297
2,83	-0,522244318
2,84	-0,515691579
2,85	-0,509200268
2,86	-0,502770538
2,87	-0,496402509
2,88	-0,490096269
2,89	-0,483851872
2,9	-0,477669345
2,91	-0,471548686
2,92	-0,465489866
2,93	-0,45949283
2,94	-0,453557498
2,95	-0,447683766
2,96	-0,441871508
2,97	-0,436120577
2,98	-0,430430805
2,99	-0,424802003
3	-0,419233967
3,01	-0,413726471
3,02	-0,408279276
3,03	-0,402892125
3,04	-0,397564746
3,05	-0,392296853
3,06	-0,387088147
3,07	-0,381938315
3,08	-0,376847032
3,09	-0,371813962
3,1	-0,366838759
3,11	-0,361921065
3,12	-0,357060514
3,13	-0,352256729
3,14	-0,347509327
3,15	-0,342817916
3,16	-0,338182095
3,17	-0,333601459
3,18	-0,329075596
3,19	-0,324604085
3,2	-0,320186504
3,21	-0,315822422
3,22	-0,311511407
3,23	-0,307253019
3,24	-0,303046817
3,25	-0,298892355
3,26	-0,294789185
3,27	-0,290736855
3,28	-0,286734911
3,29	-0,282782896
3,3	-0,278880354
3,31	-0,275026823
3,32	-0,271221843
3,33	-0,267464952
3,34	-0,263755686
3,35	-0,260093583
3,36	-0,256478178
3,37	-0,252909008
3,38	-0,249385607
3,39	-0,245907514
3,4	-0,242474264
3,41	-0,239085394
3,42	-0,235740444
3,43	-0,232438952
3,44	-0,22918046
3,45	-0,225964507
3,46	-0,222790638
3,47	-0,219658398
3,48	-0,216567332
3,49	-0,21351699
3,5	-0,210506921
3,51	-0,207536678
3,52	-0,204605815
3,53	-0,201713889
3,54	-0,198860459
3,55	-0,196045087
3,56	-0,193267337
3,57	-0,190526775
3,58	-0,187822972
3,59	-0,185155499
3,6	-0,182523932
3,61	-0,179927848
3,62	-0,177366829
3,63	-0,174840458
3,64	-0,172348322
3,65	-0,169890012
3,66	-0,16746512
3,67	-0,165073244
3,68	-0,162713983
3,69	-0,160386939
3,7	-0,15809172
3,71	-0,155827934
3,72	-0,153595195
3,73	-0,151393119
3,74	-0,149221326
3,75	-0,147079438
3,76	-0,144967082
3,77	-0,142883889
3,78	-0,140829491
3,79	-0,138803526
3,8	-0,136805633
3,81	-0,134835458
3,82	-0,132892646
3,83	-0,130976849
3,84	-0,12908772
3,85	-0,127224919
3,86	-0,125388105
3,87	-0,123576944
3,88	-0,121791104
3,89	-0,120030255
3,9	-0,118294075
3,91	-0,11658224
3,92	-0,114894433
3,93	-0,113230339
3,94	-0,111589648
3,95	-0,10997205
3,96	-0,108377242
3,97	-0,106804923
3,98	-0,105254795
3,99	-0,103726563
4	-0,102219937
4,01	-0,100734628
4,02	-0,099270352
4,03	-0,097826829
4,04	-0,09640378
4,05	-0,095000929
4,06	-0,093618007
4,07	-0,092254744
4,08	-0,090910875
4,09	-0,089586138
4,1	-0,088280274
4,11	-0,086993027
4,12	-0,085724145
4,13	-0,084473377
4,14	-0,083240478
4,15	-0,082025202
4,16	-0,08082731
4,17	-0,079646563
4,18	-0,078482727
4,19	-0,07733557
4,2	-0,076204862
4,21	-0,075090378
4,22	-0,073991893
4,23	-0,072909187
4,24	-0,071842042
4,25	-0,070790243
4,26	-0,069753578
4,27	-0,068731836
4,28	-0,067724811
4,29	-0,066732298
4,3	-0,065754095
4,31	-0,064790004
4,32	-0,063839826
4,33	-0,062903369
4,34	-0,06198044
4,35	-0,061070851
4,36	-0,060174414
4,37	-0,059290945
4,38	-0,058420263
4,39	-0,057562187
4,4	-0,056716541
4,41	-0,05588315
4,42	-0,055061841
4,43	-0,054252444
4,44	-0,05345479
4,45	-0,052668716
4,46	-0,051894055
4,47	-0,051130648
4,48	-0,050378335
4,49	-0,049636958
4,5	-0,048906364
4,51	-0,048186398
4,52	-0,04747691
4,53	-0,046777751
4,54	-0,046088774
4,55	-0,045409834
4,56	-0,044740789
4,57	-0,044081497
4,58	-0,043431819
4,59	-0,042791618
4,6	-0,042160759
4,61	-0,041539109
4,62	-0,040926535
4,63	-0,040322908
4,64	-0,039728099
4,65	-0,039141983
4,66	-0,038564435
4,67	-0,037995331
4,68	-0,037434551
4,69	-0,036881976
4,7	-0,036337487
4,71	-0,035800967
4,72	-0,035272304
4,73	-0,034751382
4,74	-0,034238092
4,75	-0,033732323
4,76	-0,033233966
4,77	-0,032742915
4,78	-0,032259064
4,79	-0,03178231
4,8	-0,03131255
4,81	-0,030849682
4,82	-0,030393608
4,83	-0,029944228
4,84	-0,029501447
4,85	-0,029065168
4,86	-0,028635298
4,87	-0,028211743
4,88	-0,027794413
4,89	-0,027383216
4,9	-0,026978064
4,91	-0,026578869
4,92	-0,026185545
4,93	-0,025798006
4,94	-0,025416169
4,95	-0,02503995
4,96	-0,024669268
4,97	-0,024304042
4,98	-0,023944193
