r [A]	U [eV]
3,05	76,16759021
3,06	73,26492831
3,07	70,46676349
3,08	67,769196
3,09	65,16848046
3,1	62,66101929
3,11	60,24335654
3,12	57,91217194
3,13	55,6642752
3,14	53,49660062
3,15	51,40620188
3,16	49,3902471
3,17	47,4460141
3,18	45,57088589
3,19	43,76234635
3,2	42,01797604
3,21	40,33544831
3,22	38,71252549
3,23	37,14705525
3,24	35,63696718
3,25	34,18026943
3,26	32,7750456
3,27	31,41945163
3,28	30,11171295
3,29	28,85012171
3,3	27,63303405
3,31	26,45886762
3,32	25,32609912
3,33	24,23326193
3,34	23,17894393
3,35	22,16178528
3,36	21,18047644
3,37	20,23375615
3,38	19,32040956
3,39	18,43926641
3,4	17,58919933
3,41	16,76912211
3,42	15,9779882
3,43	15,21478907
3,44	14,47855285
3,45	13,76834286
3,46	13,08325627
3,47	12,42242282
3,48	11,78500358
3,49	11,17018974
3,5	10,57720149
3,51	10,00528691
3,52	9,453720902
3,53	8,921804214
3,54	8,408862444
3,55	7,914245115
3,56	7,437324782
3,57	6,977496171
3,58	6,534175352
3,59	6,106798951
3,6	5,694823382
3,61	5,297724121
3,62	4,914995
3,63	4,546147532
3,64	4,190710262
3,65	3,848228144
3,66	3,518261937
3,67	3,200387634
3,68	2,894195903
3,69	2,599291559
3,7	2,315293045
3,71	2,041831944
3,72	1,778552503
3,73	1,525111178
3,74	1,281176195
3,75	1,046427126
3,76	0,820554485
3,77	0,60325934
3,78	0,39425293
3,79	0,193256311
3,8	-3,75699E-13
3,81	-0,185776352
3,82	-0,36432429
3,83	-0,535886861
3,84	-0,700698915
3,85	-0,858987391
3,86	-1,010971598
3,87	-1,156863479
3,88	-1,29686787
3,89	-1,431182745
3,9	-1,559999459
3,91	-1,683502974
3,92	-1,801872083
3,93	-1,915279622
3,94	-2,023892677
3,95	-2,12787278
3,96	-2,227376102
3,97	-2,322553639
3,98	-2,413551385
3,99	-2,500510505
4	-2,5835675
4,01	-2,662854368
4,02	-2,738498755
4,03	-2,810624102
4,04	-2,87934979
4,05	-2,944791278
4,06	-3,007060231
4,07	-3,066264653
4,08	-3,12250901
4,09	-3,175894344
4,1	-3,226518395
4,11	-3,274475706
4,12	-3,319857733
4,13	-3,362752948
4,14	-3,403246937
4,15	-3,441422498
4,16	-3,477359733
4,17	-3,511136137
4,18	-3,542826684
4,19	-3,572503914
4,2	-3,600238009
4,21	-3,626096872
4,22	-3,650146205
4,23	-3,672449578
4,24	-3,693068501
4,25	-3,712062492
4,26	-3,729489138
4,27	-3,745404166
4,28	-3,759861495
4,29	-3,772913304
4,3	-3,784610081
4,31	-3,795000682
4,32	-3,804132384
4,33	-3,812050934
4,34	-3,818800602
4,35	-3,824424226
4,36	-3,828963261
4,37	-3,832457819
4,38	-3,834946718
4,39	-3,836467521
4,4	-3,837056577
4,41	-3,836749057
4,42	-3,835578998
4,43	-3,833579334
4,44	-3,830781934
4,45	-3,827217634
4,46	-3,822916273
4,47	-3,817906724
4,48	-3,812216922
4,49	-3,805873897
4,5	-3,798903804
4,51	-3,791331945
4,52	-3,783182803
4,53	-3,774480063
4,54	-3,765246642
4,55	-3,755504707
4,56	-3,745275706
4,57	-3,734580385
4,58	-3,723438813
4,59	-3,711870403
4,6	-3,699893933
4,61	-3,687527565
4,62	-3,674788866
4,63	-3,661694824
4,64	-3,64826187
4,65	-3,634505893
4,66	-3,620442257
4,67	-3,60608582
4,68	-3,591450946
4,69	-3,576551525
4,7	-3,561400982
4,71	-3,546012299
4,72	-3,530398023
4,73	-3,514570281
4,74	-3,498540796
4,75	-3,482320896
4,76	-3,465921528
4,77	-3,44935327
4,78	-3,432626342
4,79	-3,415750618
4,8	-3,398735637
4,81	-3,381590611
4,82	-3,364324439
4,83	-3,346945713
4,84	-3,329462732
4,85	-3,311883506
4,86	-3,294215769
4,87	-3,276466986
4,88	-3,258644362
4,89	-3,240754849
4,9	-3,222805156
4,91	-3,204801755
4,92	-3,186750888
4,93	-3,168658575
4,94	-3,150530621
4,95	-3,132372624
4,96	-3,114189978
4,97	-3,095987883
4,98	-3,077771348
4,99	-3,0595452
5	-3,041314088
5,01	-3,023082488
5,02	-3,004854709
5,03	-2,986634902
5,04	-2,968427056
5,05	-2,950235012
5,06	-2,932062464
5,07	-2,913912962
5,08	-2,895789922
5,09	-2,877696622
5,1	-2,859636214
5,11	-2,841611723
5,12	-2,823626056
5,13	-2,805682
5,14	-2,787782228
5,15	-2,769929305
5,16	-2,752125689
5,17	-2,734373734
5,18	-2,716675696
5,19	-2,699033732
5,2	-2,681449908
5,21	-2,663926197
5,22	-2,646464486
5,23	-2,629066576
5,24	-2,611734188
5,25	-2,594468962
5,26	-2,57727246
5,27	-2,560146171
5,28	-2,543091513
5,29	-2,526109833
5,3	-2,509202409
5,31	-2,492370458
5,32	-2,475615129
5,33	-2,458937514
5,34	-2,442338644
5,35	-2,425819493
5,36	-2,40938098
5,37	-2,393023971
5,38	-2,37674928
5,39	-2,360557671
5,4	-2,34444986
5,41	-2,328426517
5,42	-2,312488265
5,43	-2,296635686
5,44	-2,280869318
5,45	-2,265189659
5,46	-2,249597168
5,47	-2,234092266
5,48	-2,218675336
5,49	-2,203346729
5,5	-2,188106757
5,51	-2,172955704
5,52	-2,157893819
5,53	-2,142921321
5,54	-2,1280384
5,55	-2,113245217
5,56	-2,098541905
5,57	-2,083928572
5,58	-2,069405297
5,59	-2,054972139
5,6	-2,04062913
5,61	-2,026376279
5,62	-2,012213574
5,63	-1,998140982
5,64	-1,984158449
5,65	-1,970265901
5,66	-1,956463244
5,67	-1,942750369
5,68	-1,929127147
5,69	-1,915593432
5,7	-1,902149063
5,71	-1,888793861
5,72	-1,875527636
5,73	-1,862350181
5,74	-1,849261274
5,75	-1,836260683
5,76	-1,823348162
5,77	-1,810523451
5,78	-1,79778628
5,79	-1,785136369
5,8	-1,772573425
5,81	-1,760097145
5,82	-1,747707219
5,83	-1,735403325
5,84	-1,723185131
5,85	-1,711052301
5,86	-1,699004486
5,87	-1,687041332
5,88	-1,675162477
5,89	-1,663367552
5,9	-1,651656182
5,91	-1,640027984
5,92	-1,628482571
5,93	-1,617019548
5,94	-1,605638517
5,95	-1,594339074
5,96	-1,583120809
5,97	-1,571983309
5,98	-1,560926157
5,99	-1,549948931
6	-1,539051205
6,01	-1,52823255
6,02	-1,517492534
6,03	-1,506830722
6,04	-1,496246676
6,05	-1,485739954
6,06	-1,475310114
6,07	-1,46495671
6,08	-1,454679295
6,09	-1,44447742
6,1	-1,434350634
6,11	-1,424298483
6,12	-1,414320515
6,13	-1,404416274
6,14	-1,394585305
6,15	-1,384827151
6,16	-1,375141354
6,17	-1,365527456
6,18	-1,355984998
6,19	-1,346513522
6,2	-1,337112568
6,21	-1,327781677
6,22	-1,318520391
6,23	-1,309328249
6,24	-1,300204794
6,25	-1,291149567
6,26	-1,28216211
6,27	-1,273241965
6,28	-1,264388676
6,29	-1,255601787
6,3	-1,246880843
6,31	-1,23822539
6,32	-1,229634973
6,33	-1,221109142
6,34	-1,212647444
6,35	-1,20424943
6,36	-1,195914651
6,37	-1,187642661
6,38	-1,179433012
6,39	-1,171285261
6,4	-1,163198964
6,41	-1,155173681
6,42	-1,147208971
6,43	-1,139304396
6,44	-1,131459519
6,45	-1,123673907
6,46	-1,115947126
6,47	-1,108278746
6,48	-1,100668336
6,49	-1,09311547
6,5	-1,085619722
6,51	-1,078180669
6,52	-1,07079789
6,53	-1,063470965
6,54	-1,056199478
6,55	-1,048983012
6,56	-1,041821156
6,57	-1,034713498
6,58	-1,02765963
6,59	-1,020659145
6,6	-1,013711638
6,61	-1,006816708
6,62	-0,999973956
6,63	-0,993182983
6,64	-0,986443394
6,65	-0,979754796
6,66	-0,973116799
6,67	-0,966529014
6,68	-0,959991056
6,69	-0,95350254
6,7	-0,947063086
6,71	-0,940672314
6,72	-0,934329847
6,73	-0,928035312
6,74	-0,921788337
6,75	-0,915588552
6,76	-0,90943559
6,77	-0,903329087
6,78	-0,897268679
6,79	-0,891254008
6,8	-0,885284715
6,81	-0,879360446
6,82	-0,873480847
6,83	-0,867645569
6,84	-0,861854263
6,85	-0,856106584
6,86	-0,850402188
6,87	-0,844740736
6,88	-0,839121887
6,89	-0,833545307
6,9	-0,828010662
6,91	-0,822517619
6,92	-0,817065852
6,93	-0,811655032
6,94	-0,806284835
6,95	-0,80095494
6,96	-0,795665027
6,97	-0,790414779
6,98	-0,78520388
6,99	-0,780032019
7	-0,774898885
7,01	-0,76980417
7,02	-0,764747569
7,03	-0,759728777
7,04	-0,754747494
7,05	-0,749803421
7,06	-0,744896261
7,07	-0,74002572
7,08	-0,735191505
7,09	-0,730393328
7,1	-0,725630899
7,11	-0,720903935
7,12	-0,71621215
7,13	-0,711555265
7,14	-0,706933
7,15	-0,702345079
7,16	-0,697791226
7,17	-0,69327117
7,18	-0,688784639
7,19	-0,684331367
7,2	-0,679911086
7,21	-0,675523532
7,22	-0,671168444
7,23	-0,666845561
7,24	-0,662554627
7,25	-0,658295384
7,26	-0,654067579
7,27	-0,64987096
7,28	-0,645705278
7,29	-0,641570285
7,3	-0,637465735
7,31	-0,633391385
7,32	-0,629346991
7,33	-0,625332315
7,34	-0,621347119
7,35	-0,617391166
7,36	-0,613464222
7,37	-0,609566055
