Czas / s	Napiêcie / V
11037	2,468
11156	2,463
11278	2,458
11401	2,452
11525	2,447
11652	2,442
11784	2,437
11919	2,432
12037	2,427
12173	2,422
12309	2,417
12444	2,413
12573	2,408
12709	2,403
12845	2,399
12981	2,394
13117	2,390
13253	2,386
13389	2,382
13525	2,378
13660	2,373
13796	2,370
13932	2,366
14068	2,362
14204	2,358
14340	2,354
14476	2,350
14612	2,347
14748	2,343
14883	2,340
15019	2,336
15155	2,333
15291	2,329
15427	2,326
15563	2,323
15699	2,320
15835	2,316
15971	2,313
16107	2,311
16242	2,308
16378	2,305
16514	2,301
16650	2,299
16786	2,296
16922	2,293
17058	2,290
17194	2,288
17330	2,285
17465	2,283
17601	2,280
17737	2,277
17873	2,274
18009	2,272
18145	2,270
18281	2,267
18417	2,265
18553	2,262
18689	2,260
18824	2,257
18960	2,256
19096	2,253
19232	2,251
19368	2,249
19504	2,247
19640	2,244
19776	2,242
19912	2,240
20047	2,238
20183	2,236
20319	2,234
20455	2,232
20591	2,229
20727	2,227
20863	2,225
20999	2,223
21135	2,222
21271	2,219
21406	2,217
21542	2,215
21678	2,213
21814	2,211
21950	2,209
22086	2,207
22222	2,205
22358	2,203
22494	2,201
22629	2,199
22765	2,197
22901	2,194
23037	2,192
23173	2,190
23309	2,189
23445	2,186
23581	2,184
23717	2,182
23853	2,180
23988	2,178
24124	2,176
24260	2,173
24396	2,172
24532	2,169
24668	2,167
24804	2,165
24940	2,163
25076	2,161
25211	2,159
25347	2,156
25483	2,154
25619	2,152
25755	2,150
25891	2,148
26027	2,145
26163	2,143
26299	2,141
26435	2,138
26570	2,136
26706	2,134
26842	2,131
26978	2,129
27114	2,127
27250	2,125
27386	2,122
27522	2,120
27658	2,118
27794	2,115
27929	2,113
28065	2,110
28201	2,108
28337	2,106
28473	2,103
28609	2,101
28745	2,099
28881	2,096
29017	2,094
29153	2,091
29288	2,089
29424	2,087
29560	2,084
29696	2,081
29832	2,079
29968	2,076
30104	2,074
30240	2,071
30376	2,068
30511	2,066
30647	2,063
30783	2,060
30919	2,058
31055	2,055
31191	2,053
31327	2,050
31463	2,048
31599	2,045
31735	2,043
31870	2,040
32006	2,037
32142	2,035
32278	2,032
32414	2,029
32550	2,027
32686	2,024
32822	2,021
32958	2,018
33094	2,016
33229	2,013
33365	2,011
33501	2,008
33637	2,005
33773	2,003
33909	2,000
34045	1,997
34181	1,994
34317	1,991
34453	1,989
34588	1,986
34724	1,984
34860	1,981
34996	1,979
35132	1,975
35268	1,973
35404	1,970
35540	1,968
35676	1,965
35812	1,962
35947	1,959
36083	1,957
36219	1,954
36355	1,951
36491	1,949
36627	1,946
36763	1,943
36899	1,941
37035	1,938
37170	1,935
37306	1,933
37442	1,930
37578	1,927
37714	1,924
37850	1,922
37986	1,920
38122	1,917
38258	1,914
38394	1,911
38529	1,909
38665	1,906
38801	1,903
38937	1,901
39073	1,898
39209	1,895
39345	1,893
39481	1,890
39617	1,888
39753	1,886
39888	1,883
40024	1,880
40160	1,878
40296	1,875
40432	1,873
40568	1,870
40704	1,868
40840	1,865
40976	1,863
41111	1,861
41247	1,858
41383	1,856
41519	1,853
41655	1,851
41791	1,849
41927	1,847
42063	1,844
42199	1,842
42334	1,839
42470	1,837
42606	1,835
42742	1,833
42878	1,831
43014	1,829
43150	1,827
43286	1,825
43422	1,822
43558	1,820
43693	1,818
43829	1,817
43965	1,815
44101	1,813
44237	1,811
44373	1,809
44509	1,807
44645	1,806
44781	1,804
44916	1,802
45052	1,801
45188	1,799
45324	1,797
45460	1,795
45596	1,794
45732	1,793
45868	1,791
46004	1,790
46140	1,788
46275	1,787
46411	1,786
46547	1,784
46683	1,783
46819	1,782
46955	1,781
47091	1,779
47227	1,778
47363	1,777
47498	1,776
47634	1,774
47770	1,773
47906	1,772
48042	1,771
48178	1,770
48314	1,769
48450	1,767
48586	1,766
48722	1,766
48857	1,764
48993	1,763
49129	1,762
49265	1,761
49401	1,759
49537	1,759
49673	1,758
49809	1,756
49945	1,755
50081	1,754
50216	1,753
50352	1,751
50488	1,751
50624	1,749
50760	1,749
50896	1,747
51032	1,746
51168	1,745
51304	1,743
51440	1,742
51575	1,741
51711	1,740
51847	1,738
51983	1,738
52119	1,736
52255	1,735
52391	1,733
52527	1,732
52663	1,730
52798	1,730
52934	1,728
53070	1,727
53206	1,725
53342	1,724
53478	1,723
53614	1,722
53750	1,721
53886	1,719
54021	1,718
54157	1,716
54293	1,714
54429	1,713
54565	1,712
54701	1,710
54837	1,709
54973	1,707
55109	1,706
55245	1,704
55380	1,702
55516	1,701
55652	1,699
55788	1,697
55924	1,696
56060	1,693
56196	1,692
56332	1,690
56468	1,688
56603	1,687
56739	1,685
56875	1,683
57011	1,681
57147	1,679
57283	1,677
57419	1,675
57555	1,673
57691	1,671
57827	1,669
57962	1,667
58098	1,665
58234	1,663
58370	1,661
58506	1,658
58642	1,657
58778	1,654
58914	1,652
59050	1,649
59186	1,647
59321	1,645
59457	1,642
59593	1,640
59729	1,637
59865	1,635
60001	1,632
60137	1,629
60273	1,627
60409	1,624
60545	1,621
60680	1,618
60816	1,616
60952	1,612
61088	1,609
61224	1,606
61360	1,603
61496	1,600
61632	1,596
61768	1,593
61903	1,590
62039	1,586
62175	1,582
62311	1,579
62447	1,575
62583	1,571
62719	1,567
62855	1,563
62991	1,559
63127	1,555
63262	1,551
63398	1,546
63534	1,542
63670	1,538
63806	1,533
63942	1,528
64078	1,524
64206	1,519
64342	1,514
64473	1,509
64609	1,504
64700	1,500
