Czas / s	Napiêcie / V
113509	1,829
113868	1,827
114226	1,825
114585	1,822
114943	1,820
115302	1,818
115661	1,817
116019	1,815
116378	1,813
116736	1,811
117095	1,809
117454	1,807
117812	1,806
118171	1,804
118529	1,802
118888	1,801
119247	1,799
119605	1,797
119964	1,795
120323	1,794
120681	1,793
121040	1,791
121398	1,790
121757	1,788
122116	1,787
122474	1,786
122833	1,784
123191	1,783
123550	1,782
123909	1,781
124267	1,779
124626	1,778
124985	1,777
125343	1,776
125702	1,774
126060	1,773
126419	1,772
126778	1,771
127136	1,770
127495	1,769
127853	1,767
128212	1,766
128571	1,766
128929	1,764
129288	1,763
129647	1,762
130005	1,761
130364	1,759
130722	1,759
131081	1,758
131440	1,756
131798	1,755
132157	1,754
132516	1,753
132874	1,751
133233	1,751
133591	1,749
133950	1,749
134309	1,747
134667	1,746
135026	1,745
135385	1,743
135743	1,742
136102	1,741
136460	1,740
136819	1,738
137178	1,738
137536	1,736
137895	1,735
138253	1,733
138612	1,732
138971	1,730
139329	1,730
139688	1,728
140046	1,727
140405	1,725
140764	1,724
141122	1,723
141481	1,722
141839	1,721
142198	1,719
142557	1,718
142915	1,716
143274	1,714
143633	1,713
143991	1,712
144350	1,710
144708	1,709
145067	1,707
145426	1,706
145784	1,704
146143	1,702
146501	1,701
146860	1,699
147219	1,697
147577	1,696
147936	1,693
148294	1,692
148653	1,690
149012	1,688
149370	1,687
149729	1,685
150088	1,683
150446	1,681
150805	1,679
151163	1,677
151522	1,675
151881	1,673
152239	1,671
152598	1,669
152957	1,667
153315	1,665
153674	1,663
154032	1,661
154391	1,658
154750	1,657
155108	1,654
155467	1,652
155825	1,649
156184	1,647
156543	1,645
156901	1,642
157260	1,640
157619	1,637
157977	1,635
158336	1,632
158694	1,629
159053	1,627
159412	1,624
159770	1,621
160129	1,618
160487	1,616
160846	1,612
161205	1,609
161563	1,606
161922	1,603
162281	1,600
162639	1,596
162998	1,593
163356	1,590
163715	1,586
164074	1,582
164432	1,579
164791	1,575
165149	1,571
165508	1,567
165867	1,563
166225	1,559
166584	1,555
166942	1,551
167301	1,546
167660	1,542
168018	1,538
168377	1,533
168736	1,528
169094	1,524
169433	1,519
169792	1,514
170136	1,509
170495	1,504
170736	1,500
