Czas / s	Napiêcie / V
5443	2,447
5502	2,442
5564	2,437
5629	2,432
5684	2,427
5748	2,422
5812	2,417
5877	2,413
5937	2,408
6002	2,403
6066	2,399
6130	2,394
6194	2,390
6258	2,386
6322	2,382
6387	2,378
6451	2,373
6515	2,370
6579	2,366
6643	2,362
6707	2,358
6772	2,354
6836	2,350
6900	2,347
6964	2,343
7028	2,340
7092	2,336
7157	2,333
7221	2,329
7285	2,326
7349	2,323
7413	2,320
7478	2,316
7542	2,313
7606	2,311
7670	2,308
7734	2,305
7798	2,301
7863	2,299
7927	2,296
7991	2,293
8055	2,290
8119	2,288
8183	2,285
8248	2,283
8312	2,280
8376	2,277
8440	2,274
8504	2,272
8568	2,270
8633	2,267
8697	2,265
8761	2,262
8825	2,260
8889	2,257
8953	2,256
9018	2,253
9082	2,251
9146	2,249
9210	2,247
9274	2,244
9339	2,242
9403	2,240
9467	2,238
9531	2,236
9595	2,234
9659	2,232
9724	2,229
9788	2,227
9852	2,225
9916	2,223
9980	2,222
10044	2,219
10109	2,217
10173	2,215
10237	2,213
10301	2,211
10365	2,209
10429	2,207
10494	2,205
10558	2,203
10622	2,201
10686	2,199
10750	2,197
10814	2,194
10879	2,192
10943	2,190
11007	2,189
11071	2,186
11135	2,184
11200	2,182
11264	2,180
11328	2,178
11392	2,176
11456	2,173
11520	2,172
11585	2,169
11649	2,167
11713	2,165
11777	2,163
11841	2,161
11905	2,159
11970	2,156
12034	2,154
12098	2,152
12162	2,150
12226	2,148
12290	2,145
12355	2,143
12419	2,141
12483	2,138
12547	2,136
12611	2,134
12676	2,131
12740	2,129
12804	2,127
12868	2,125
12932	2,122
12996	2,120
13061	2,118
13125	2,115
13189	2,113
13253	2,110
13317	2,108
13381	2,106
13446	2,103
13510	2,101
13574	2,099
13638	2,096
13702	2,094
13766	2,091
13831	2,089
13895	2,087
13959	2,084
14023	2,081
14087	2,079
14152	2,076
14216	2,074
14280	2,071
14344	2,068
14408	2,066
14472	2,063
14537	2,060
14601	2,058
14665	2,055
14729	2,053
14793	2,050
14857	2,048
14922	2,045
14986	2,043
15050	2,040
15114	2,037
15178	2,035
15242	2,032
15307	2,029
15371	2,027
15435	2,024
15499	2,021
15563	2,018
15628	2,016
15692	2,013
15756	2,011
15820	2,008
15884	2,005
15948	2,003
16013	2,000
16077	1,997
16141	1,994
16205	1,991
16269	1,989
16333	1,986
16398	1,984
16462	1,981
16526	1,979
16590	1,975
16654	1,973
16718	1,970
16783	1,968
16847	1,965
16911	1,962
16975	1,959
17039	1,957
17104	1,954
17168	1,951
17232	1,949
17296	1,946
17360	1,943
17424	1,941
17489	1,938
17553	1,935
17617	1,933
17681	1,930
17745	1,927
17809	1,924
17874	1,922
17938	1,920
18002	1,917
18066	1,914
18130	1,911
18194	1,909
18259	1,906
18323	1,903
18387	1,901
18451	1,898
18515	1,895
18580	1,893
18644	1,890
18708	1,888
18772	1,886
18836	1,883
18900	1,880
18965	1,878
19029	1,875
19093	1,873
19157	1,870
19221	1,868
19285	1,865
19350	1,863
19414	1,861
19478	1,858
19542	1,856
19606	1,853
19670	1,851
19735	1,849
19799	1,847
19863	1,844
19927	1,842
19991	1,839
20055	1,837
20120	1,835
20184	1,833
20248	1,831
20312	1,829
20376	1,827
20440	1,825
20505	1,822
20569	1,820
20633	1,818
20697	1,817
20761	1,815
20826	1,813
20890	1,811
20954	1,809
21018	1,807
21082	1,806
21146	1,804
21211	1,802
21275	1,801
21339	1,799
21403	1,797
21467	1,795
21531	1,794
21596	1,793
21660	1,791
21724	1,790
21788	1,788
21852	1,787
21916	1,786
21981	1,784
22045	1,783
22109	1,782
22173	1,781
22237	1,779
22301	1,778
22366	1,777
22430	1,776
22494	1,774
22558	1,773
22622	1,772
22687	1,771
22751	1,770
22815	1,769
22879	1,767
22943	1,766
23007	1,766
23072	1,764
23136	1,763
23200	1,762
23264	1,761
23328	1,759
23392	1,759
23457	1,758
23521	1,756
23585	1,755
23649	1,754
23713	1,753
23777	1,751
23842	1,751
23906	1,749
23970	1,749
24034	1,747
24098	1,746
24163	1,745
24227	1,743
24291	1,742
24355	1,741
24419	1,740
24483	1,738
24548	1,738
24612	1,736
24676	1,735
24740	1,733
24804	1,732
24868	1,730
24933	1,730
24997	1,728
25061	1,727
25125	1,725
25189	1,724
25253	1,723
25318	1,722
25382	1,721
25446	1,719
25510	1,718
25574	1,716
25638	1,714
25703	1,713
25767	1,712
25831	1,710
25895	1,709
25959	1,707
26024	1,706
26088	1,704
26152	1,702
26216	1,701
26280	1,699
26344	1,697
26409	1,696
26473	1,693
26537	1,692
26601	1,690
26665	1,688
26729	1,687
26794	1,685
26858	1,683
26922	1,681
26986	1,679
27050	1,677
27114	1,675
27179	1,673
27243	1,671
27307	1,669
27371	1,667
27435	1,665
27500	1,663
27564	1,661
27628	1,658
27692	1,657
27756	1,654
27820	1,652
27885	1,649
27949	1,647
28013	1,645
28077	1,642
28141	1,640
28205	1,637
28270	1,635
28334	1,632
28398	1,629
28462	1,627
28526	1,624
28590	1,621
28655	1,618
28719	1,616
28783	1,612
28847	1,609
28911	1,606
28975	1,603
29040	1,600
29104	1,596
29168	1,593
29232	1,590
29296	1,586
29361	1,582
29425	1,579
29489	1,575
29553	1,571
29617	1,567
29681	1,563
29746	1,559
29810	1,555
29874	1,551
29938	1,546
30002	1,542
30066	1,538
30131	1,533
30195	1,528
30259	1,524
30320	1,519
30384	1,514
30445	1,509
30510	1,504
30553	1,500
